"Location","Shannon_Diversity","Taxa_Richness","Plant_to_Animal_Ratio"
"Beaufort",1.75118758051735,53.5,0.225080931507959
"Wilmington City",1.52373163019806,46.5,0.0744742128307877
"Winston Salem",2.31478082171089,69.5,5.96423265079389
"Newport",1.64449704208613,63,0.121932268556768
"Marion",1.87423633180161,60,0.224529747705601
"Charlotte 2",1.29361826121745,59,0.095240849448185
"Greenville",1.87021605519353,64,0.269787456825976
"Carrboro",2.27875477249296,58.5,0.377990824723248
"Roanoke Rapids",1.90576652936393,56,0.236563789591347
"Laurinburg",1.62875360394222,51,0.121613228914842
"Raleigh",2.0056880474847,58.5,0.481336272384139
"Charlotte 1",1.91126450449671,51,0.267403874835789
"Wilson",1.67428885739729,52,0.10838738749313
"Fayetteville",1.31351004331509,45.5,0.10958314683803
"Hanover County",2.12068542163929,68.5,0.367292201480521
"Durham",2.1362760409967,53.5,0.977711394854392
"Charlotte 3",2.1383265714442,54,0.272972950249297
"Greensboro",2.23975255530287,69.5,0.369702082839813
"Asheville",1.89678440825432,57.5,0.328316329746066
